"CountryName","Year","Lower","Median","Upper"
"Eritrea",2006,56.3,66.3,77.7
"Eritrea",2007,52.7,63.2,75.7
"Eritrea",2008,49.1,60.4,74.2
"Eritrea",2009,46,57.9,73
"Eritrea",2010,43.1,55.6,72.1
"Eritrea",2011,40.4,53.5,71.7
"Eritrea",2012,37.7,51.6,71.4
"Eritrea",2013,35.3,49.7,71.1
"Eritrea",2014,32.9,48.1,70.7
"Ethiopia",1980,222.4,241.6,263
"Ethiopia",1981,220.8,239.3,260.1
"Ethiopia",1982,218.1,236,255.9
"Ethiopia",1983,214.7,232,251
"Ethiopia",1984,210.8,227.6,245.8
"Ethiopia",1985,206.9,223.4,241
"Ethiopia",1986,203.2,219.3,236.5
"Ethiopia",1987,200,215.5,232.6
"Ethiopia",1988,196.9,212,228.5
"Ethiopia",1989,193.9,208.4,224.7
"Ethiopia",1990,190.2,204.6,220.6
"Ethiopia",1991,186.1,200.2,215.9
"Ethiopia",1992,181.1,195,210.4
"Ethiopia",1993,175.4,188.9,203.6
"Ethiopia",1994,169.2,182,196.1
"Ethiopia",1995,162.5,175,188.4
"Ethiopia",1996,156.1,168.3,181
"Ethiopia",1997,150.2,162,174.2
"Ethiopia",1998,144.9,156.2,168.1
"Ethiopia",1999,139.6,150.8,162.7
"Ethiopia",2000,134.1,145.1,157.2
"Ethiopia",2001,128.1,139,151.2
"Ethiopia",2002,121.7,132.2,144.2
"Ethiopia",2003,114.7,124.8,136.3
"Ethiopia",2004,107.2,117,128.1
"Ethiopia",2005,99.6,109.1,119.9
"Ethiopia",2006,91.3,101.3,112.3
"Ethiopia",2007,83.1,93.8,105.6
"Ethiopia",2008,75,86.9,99.8
"Ethiopia",2009,67.8,80.8,94.9
"Ethiopia",2010,61.5,75.7,90.8
"Ethiopia",2011,56.1,71.3,87.9
"Ethiopia",2012,51.4,67.7,85.9
"Ethiopia",2013,47.2,64.6,84.5
"Ethiopia",2014,43.8,61.8,83.3
"Gabon",1980,97.5,117.3,141.5
"Gabon",1981,95.1,113.2,134.6
"Gabon",1982,92.5,109.3,128.9
"Gabon",1983,90.1,106,124.4
"Gabon",1984,88,103,120.4
"Gabon",1985,85.9,100.4,117.2
"Gabon",1986,84.3,98.2,114.4
"Gabon",1987,82.9,96.5,112.1
"Gabon",1988,82.1,95.1,110.1
"Gabon",1989,81.5,93.9,108.7
"Gabon",1990,80.8,92.9,107.5
"Gabon",1991,80.1,92,106.6
"Gabon",1992,79.6,91.3,105.7
"Gabon",1993,79.1,90.6,104.9
"Gabon",1994,78.5,89.8,104.2
"Gabon",1995,77.9,89.1,103.7
"Gabon",1996,77.3,88.5,103.1
"Gabon",1997,76.6,87.9,102.3
"Gabon",1998,76,87.2,101.5
"Gabon",1999,75.2,86.3,100.7
"Gabon",2000,74.1,85.3,100
"Gabon",2001,72.9,84,98.8
"Gabon",2002,71.6,82.5,97.1
"Gabon",2003,69.9,80.8,95
"Gabon",2004,68,78.8,92.4
"Gabon",2005,66,76.7,89.6
"Gabon",2006,63.9,74.5,86.7
"Gabon",2007,61.5,71.9,83.5
"Gabon",2008,58.7,68.9,80.7
"Gabon",2009,55.6,66.1,78.1
"Gabon",2010,52.3,63.3,76
"Gabon",2011,48.8,60.6,74.2
"Gabon",2012,45.1,57.7,72.3
"Gabon",2013,41.5,54.8,70.6
"Gabon",2014,38.4,52.3,69.5
"Gambia The",1980,208.6,238.5,279.2
"Gambia The",1981,203.2,231.9,271.5
"Gambia The",1982,197.7,225.3,263
"Gambia The",1983,192,218.3,254.5
"Gambia The",1984,186.4,211.2,245.1
"Gambia The",1985,180.6,204,235.4
"Gambia The",1986,174.9,196.8,225.3
"Gambia The",1987,168.9,189.9,216.2
"Gambia The",1988,163,183.1,207
"Gambia The",1989,157.4,176.6,198.5
"Gambia The",1990,152.1,170.2,190.5
"Gambia The",1991,146.9,164.2,182.9
"Gambia The",1992,142.1,158.5,176.3
"Gambia The",1993,137.2,152.9,170
"Gambia The",1994,132.3,147.5,164.1
"Gambia The",1995,127.5,142.4,158.6
"Gambia The",1996,122.8,137.4,153.4
"Gambia The",1997,118.2,132.5,148.6
"Gambia The",1998,113.7,127.9,144
"Gambia The",1999,109.2,123.2,139.5
"Gambia The",2000,104.9,118.8,135.2
"Gambia The",2001,100.6,114.5,131.1
"Gambia The",2002,96.2,110.2,126.8
"Gambia The",2003,91.8,106,123.3
"Gambia The",2004,87.4,101.9,119.9
"Gambia The",2005,82.7,97.9,116.7
